sample	unit	fq1	fq2
Poecilodryas_placens	homogametic	../data/external_raw/fastq/robins/B27136_R1_001.fastq.gz	../data/external_raw/fastq/robins/B27136_R2_001.fastq.gz
Poecilodryas_placens	heterogametic	../data/external_raw/fastq/robins/B27137_R1_001.fastq.gz	../data/external_raw/fastq/robins/B27137_R2_001.fastq.gz
