sample	unit	fq1	fq2
Drymodes_brunneopygia	homogametic	../data/external_raw/fastq/robins/B28859_R1.fastq.gz	../data/external_raw/fastq/robins/B28859_R2.fastq.gz
Drymodes_brunneopygia	heterogametic	../data/external_raw/fastq/robins/B46733_R1.fastq.gz	../data/external_raw/fastq/robins/B46733_R2.fastq.gz
