sample	unit	fq1	fq2
Tregellasia_capito	homogametic	../data/external_raw/fastq/robins/B28847_R1_001.fastq.gz	../data/external_raw/fastq/robins/B28847_R2_001.fastq.gz
Tregellasia_capito	heterogametic	../data/external_raw/fastq/robins/B31376_R1_001.fastq.gz	../data/external_raw/fastq/robins/B31376_R2_001.fastq.gz
