sample
subset_SRR9655168_WGS_of_Alouatta_palliata_S173
subset_SRR9655169_WGS_of_Alouatta_palliata_S14
subset_SRR9655170_WGS_of_Alouatta_palliata_S608
subset_SRR9655171_WGS_of_Alouatta_palliata_S618
