ERR1016735	homogametic	data/fastq/ERR1016735_1.fastq.gz	data/fastq/ERR1016735_2.fastq.gz	Poecilia_reticulata_2
ERR1016738	homogametic	data/fastq/ERR1016738_1.fastq.gz	data/fastq/ERR1016738_2.fastq.gz	Poecilia_reticulata_2
ERR1016717	heterogametic	data/fastq/ERR1016717_1.fastq.gz	data/fastq/ERR1016717_2.fastq.gz	Poecilia_reticulata_2
ERR1016719	homogametic	data/fastq/ERR1016719_1.fastq.gz	data/fastq/ERR1016719_2.fastq.gz	Poecilia_reticulata_2
ERR1016716	heterogametic	data/fastq/ERR1016716_1.fastq.gz	data/fastq/ERR1016716_2.fastq.gz	Poecilia_reticulata_2
ERR1016718	homogametic	data/fastq/ERR1016718_1.fastq.gz	data/fastq/ERR1016718_2.fastq.gz	Poecilia_reticulata_2
ERR1016726	heterogametic	data/fastq/ERR1016726_1.fastq.gz	data/fastq/ERR1016726_2.fastq.gz	Poecilia_reticulata_2
ERR1016728	heterogametic	data/fastq/ERR1016728_1.fastq.gz	data/fastq/ERR1016728_2.fastq.gz	Poecilia_reticulata_2
ERR1016730	heterogametic	data/fastq/ERR1016730_1.fastq.gz	data/fastq/ERR1016730_2.fastq.gz	Poecilia_reticulata_2
ERR1016734	homogametic	data/fastq/ERR1016734_1.fastq.gz	data/fastq/ERR1016734_2.fastq.gz	Poecilia_reticulata_2
ERR1016736	homogametic	data/fastq/ERR1016736_1.fastq.gz	data/fastq/ERR1016736_2.fastq.gz	Poecilia_reticulata_2
